,utterance,intent
3145,"Hi, who's the developer of Fantastic Checkers 2? ",ReqGameInfo
3146,"Hi, who's the developer of Gravity puzzles? ",ReqGameInfo
3147,"Hi, who's the developer of The Adventures of Mr. Fluffykins? ",ReqGameInfo
3148,"Hey, what's the genre of Missileman Origins? ",ReqGameInfo
3149,"Hey, what's the genre of Fortified? ",ReqGameInfo
3150,"Hey, what's the genre of Pic Guesser? ",ReqGameInfo
3151,"Hey, what's the genre of Red Crucible 2: Reborn? ",ReqGameInfo
3152,"Hey, what's the genre of Card Crawl? ",ReqGameInfo
3153,"Hey, what's the genre of KillStreak.tv? ",ReqGameInfo
3154,"Hey, what's the genre of Trivia Vault: Music Trivia? ",ReqGameInfo
3155,"Hey, what's the genre of Panzer Tactics HD? ",ReqGameInfo
3156,"Hey, what's the genre of Paper Monsters Recut? ",ReqGameInfo
3157,"Hey, what's the genre of Fort Defense? ",ReqGameInfo
3158,What's the release date of MIND CUBES ⬛ Inside the Twisted Gravity Puzzle? ,ReqGameInfo
3159,What's the release date of Draft Day Sports: College Football 2018? ,ReqGameInfo
3160,"What's the release date of one night, hot springs? ",ReqGameInfo
3161,What's the release date of Rayless? ,ReqGameInfo
3162,What's the release date of Space Jammers? ,ReqGameInfo
3163,What's the release date of Maytroid. I swear it's a nice game too? ,ReqGameInfo
3164,What's the release date of Outrageous Grounds: The Maze? ,ReqGameInfo
3165,What's the release date of SWR JST DX Selective Memory Erase Effect? ,ReqGameInfo
3166,What's the release date of Wayward? ,ReqGameInfo
3167,What's the release date of Hardy Only One? ,ReqGameInfo
3168,What's the category of Star Horizon? ,ReqGameInfo
3169,What's the category of 15 Days? ,ReqGameInfo
3170,What's the category of Tennis Story? ,ReqGameInfo
3171,What's the category of Forgotten Tales: Day of the Dead? ,ReqGameInfo
3172,What's the category of Vaccine? ,ReqGameInfo
3173,What's the category of Pristine world? ,ReqGameInfo
3174,What's the category of Labirinto? ,ReqGameInfo
3175,What's the category of Run Of Mydan? ,ReqGameInfo
3176,What's the category of Beyond Good and Evil™? ,ReqGameInfo
3177,What's the category of 7? ,ReqGameInfo
3178,Can you tell me the game tag of Moon Landing VR? ,ReqGameInfo
3179,Can you tell me the game tag of .hack//G.U. Last Recode? ,ReqGameInfo
3180,Can you tell me the game tag of Super Realistic Autocross? ,ReqGameInfo
3181,Can you tell me the game tag of The Bell Chimes for Gold? ,ReqGameInfo
3182,Can you tell me the game tag of Shadow Wolf Mysteries: Bane of the Family Collector's Edition? ,ReqGameInfo
3183,Can you tell me the game tag of The Party of Demons? ,ReqGameInfo
3184,Can you tell me the game tag of Lilly and Sasha: Guardian Angels? ,ReqGameInfo
3185,Can you tell me the game tag of Counter-Strike? ,ReqGameInfo
3186,Can you tell me the game tag of Echelon: Wind Warriors? ,ReqGameInfo
3187,Can you tell me the game tag of Panic Room 2: Hide and Seek? ,ReqGameInfo
3188,What's the publisher of Space Robot Samurai Zombie Slayer? ,ReqGameInfo
3189,What's the publisher of Chocolate makes you happy 2? ,ReqGameInfo
3190,What's the publisher of Zombie Camp: Last Survivor? ,ReqGameInfo
3191,What's the publisher of EARTH'S DAWN? ,ReqGameInfo
3192,What's the publisher of DungeonUp? ,ReqGameInfo
3193,What's the publisher of tiny & Tall: Gleipnir? ,ReqGameInfo
3194,What's the publisher of 祭品的逆襲 The Counterattack Of Sacrifice? ,ReqGameInfo
3195,What's the publisher of Ancient Tower? ,ReqGameInfo
3196,What's the publisher of Weather Lord? ,ReqGameInfo
3197,What's the publisher of Candy Adventure? ,ReqGameInfo
3198,"Hi, who's the developer of The Monk and the Warrior. The Heart of the King.? ",ReqGameInfo
3199,"Hi, who's the developer of Space Cat? ",ReqGameInfo
3200,"Hi, who's the developer of Worms Reloaded? ",ReqGameInfo
3201,"Hi, who's the developer of Life in Bunker? ",ReqGameInfo
3202,"Hi, who's the developer of PataNoir? ",ReqGameInfo
3203,"Hi, who's the developer of Wonfourn? ",ReqGameInfo
3204,"Hi, who's the developer of Hangover? ",ReqGameInfo
3205,"Hi, who's the developer of Project CARS - Pagani Edition? ",ReqGameInfo
3206,"Hi, who's the developer of Need to Know? ",ReqGameInfo
3207,"Hi, who's the developer of Chop Chop Princess!? ",ReqGameInfo
3208,"Hey, what's the genre of Simplefield? ",ReqGameInfo
3209,"Hey, what's the genre of Super Lemonade Factory? ",ReqGameInfo
3210,"Hey, what's the genre of Inescapable VR: Underground? ",ReqGameInfo
3211,"Hey, what's the genre of Obscurity? ",ReqGameInfo
3212,"Hey, what's the genre of System Shock: Enhanced Edition? ",ReqGameInfo
3213,"Hey, what's the genre of TrainerVR? ",ReqGameInfo
3214,"Hey, what's the genre of Mariner Accident? ",ReqGameInfo
3215,"Hey, what's the genre of Love Chronicles: Salvation Collector's Edition? ",ReqGameInfo
3216,"Hey, what's the genre of Gunship Battle2 VR: Steam Edition? ",ReqGameInfo
3217,"Hey, what's the genre of Oedipus Dating Sim? ",ReqGameInfo
3218,What's the release date of Roads of Rome 3? ,ReqGameInfo
3219,What's the release date of Hold Your Own? ,ReqGameInfo
3220,What's the release date of Gemini Lost™? ,ReqGameInfo
3221,What's the release date of Sword Art Online Re: Hollow Fragment? ,ReqGameInfo
3222,What's the release date of VR Invaders? ,ReqGameInfo
3223,What's the release date of Operation: New Earth? ,ReqGameInfo
3224,What's the release date of Nights at the Clown Maze? ,ReqGameInfo
3225,What's the release date of D.H.Trouble Guy? ,ReqGameInfo
3226,What's the release date of Atooms to Moolecules Demo? ,ReqGameInfo
3227,What's the release date of Girl Mod | GIRLS VR ? ,ReqGameInfo
3228,What's the category of FPS - Fun Puzzle Shooter? ,ReqGameInfo
3229,What's the category of Doodle God: Alchemy Jam? ,ReqGameInfo
3230,What's the category of The Fidelio Incident? ,ReqGameInfo
3231,What's the category of Depth of Extinction? ,ReqGameInfo
3232,What's the category of Enlysia? ,ReqGameInfo
3233,What's the category of Monkey Slap? ,ReqGameInfo
3234,What's the category of The Bits That Saved The Universe? ,ReqGameInfo
3235,What's the category of Hentai Summer? ,ReqGameInfo
3236,What's the category of Navigator? ,ReqGameInfo
3237,What's the category of Elevator Ritual? ,ReqGameInfo
3238,Can you tell me the game tag of Ze VR? ,ReqGameInfo
3239,Can you tell me the game tag of Eden Rising: Supremacy? ,ReqGameInfo
3240,Can you tell me the game tag of Guiding Hand VR? ,ReqGameInfo
3241,Can you tell me the game tag of Hollowed? ,ReqGameInfo
3242,Can you tell me the game tag of LEAVES - The Return? ,ReqGameInfo
3243,Can you tell me the game tag of Hello inc VR? ,ReqGameInfo
3244,Can you tell me the game tag of Banana Town? ,ReqGameInfo
3245,Can you tell me the game tag of Space Merchants: Arena? ,ReqGameInfo
3246,Can you tell me the game tag of Go Morse Go! Arcade Edition? ,ReqGameInfo
3247,Can you tell me the game tag of Dust n Wheels? ,ReqGameInfo
3248,What's the publisher of Cosmic Ray? ,ReqGameInfo
3249,What's the publisher of Overcast - Walden and the Werewolf? ,ReqGameInfo
3250,What's the publisher of Super Puzzle Sisters? ,ReqGameInfo
3251,What's the publisher of The Song of Seven : Overture? ,ReqGameInfo
3252,What's the publisher of Oil Enterprise? ,ReqGameInfo
3253,What's the publisher of Overture? ,ReqGameInfo
3254,What's the publisher of Dive Inside? ,ReqGameInfo
3255,What's the publisher of WITCH-BOT MEGLILO? ,ReqGameInfo
3256,What's the publisher of Land of Puzzles: Knights? ,ReqGameInfo
3257,What's the publisher of Ape Hit? ,ReqGameInfo
3258,"Hi, who's the developer of Killer Klownz? ",ReqGameInfo
3259,"Hi, who's the developer of Whirligig VR Media Player? ",ReqGameInfo
3260,"Hi, who's the developer of Mocove Arts VR? ",ReqGameInfo
3261,"Hi, who's the developer of Woeful Woebots? ",ReqGameInfo
3262,"Hi, who's the developer of Clockwork? ",ReqGameInfo
3263,"Hi, who's the developer of Runes of Brennos? ",ReqGameInfo
3264,"Hi, who's the developer of Owl Simulator? ",ReqGameInfo
3265,"Hi, who's the developer of The Last Dogma - Wilder Wein Edition? ",ReqGameInfo
3266,"Hi, who's the developer of Jade's Dungeon Descent? ",ReqGameInfo
3267,"Hi, who's the developer of Paralines The Last paladin? ",ReqGameInfo
3268,"Hey, what's the genre of Yo My Yo!? ",ReqGameInfo
3269,"Hey, what's the genre of uFactory? ",ReqGameInfo
3270,"Hey, what's the genre of Heart&Slash? ",ReqGameInfo
3271,"Hey, what's the genre of Guacamelee! 2? ",ReqGameInfo
3272,"Hey, what's the genre of League of Light: Silent Mountain Collector's Edition? ",ReqGameInfo
3273,"Hey, what's the genre of The Loner? ",ReqGameInfo
3274,"Hey, what's the genre of Batman™: Arkham VR? ",ReqGameInfo
3275,"Hey, what's the genre of CTU: Counter Terrorism Unit? ",ReqGameInfo
3276,"Hey, what's the genre of Three Heroes? ",ReqGameInfo
3277,"Hey, what's the genre of Detention? ",ReqGameInfo
3278,What's the release date of Grim Tales: Bloody Mary Collector's Edition? ,ReqGameInfo
3279,What's the release date of God Monster? ,ReqGameInfo
3280,What's the release date of Has-Been Heroes? ,ReqGameInfo
3281,What's the release date of Deadly Metal? ,ReqGameInfo
3282,What's the release date of Nihilumbra? ,ReqGameInfo
3283,What's the release date of Charlie the Duck? ,ReqGameInfo
3284,What's the release date of TANK SOULS? ,ReqGameInfo
3285,What's the release date of Lagoon Lounge : The Poisonous Fountain? ,ReqGameInfo
3286,What's the release date of Groove Coaster? ,ReqGameInfo
3287,What's the release date of In the Raven Shadow – Ve stínu havrana? ,ReqGameInfo
3288,What's the category of Space Warp? ,ReqGameInfo
3289,What's the category of Lightfield HYPER Edition? ,ReqGameInfo
3290,What's the category of Ancient Siberia? ,ReqGameInfo
3291,What's the category of Disney Princess: Enchanted Journey? ,ReqGameInfo
3292,What's the category of Petz® Horsez® 2? ,ReqGameInfo
3293,What's the category of Children of a Dead Earth? ,ReqGameInfo
3294,What's the category of The Far Frontier? ,ReqGameInfo
3295,What's the category of Neverwinter Nights: Enhanced Edition? ,ReqGameInfo
3296,What's the category of RECOG The First Wave? ,ReqGameInfo
3297,What's the category of Fabulous Food Truck? ,ReqGameInfo
3298,Can you tell me the game tag of STAR WARS™ Galactic Battlegrounds Saga? ,ReqGameInfo
3299,Can you tell me the game tag of Mining & Tunneling Simulator? ,ReqGameInfo
3300,Can you tell me the game tag of Vein Hotel? ,ReqGameInfo
3301,Can you tell me the game tag of Z-Exemplar? ,ReqGameInfo
3302,Can you tell me the game tag of Birdsketball? ,ReqGameInfo
3303,Can you tell me the game tag of Tomato Jones 2? ,ReqGameInfo
3304,Can you tell me the game tag of Slay? ,ReqGameInfo
3305,Can you tell me the game tag of WISGR? ,ReqGameInfo
3306,Can you tell me the game tag of Zero Killed? ,ReqGameInfo
3307,Can you tell me the game tag of TAOTH - The Adventures of the Herkulez? ,ReqGameInfo
3308,What's the publisher of Death's Gambit? ,ReqGameInfo
3309,What's the publisher of Space Way? ,ReqGameInfo
3310,What's the publisher of Floor By Floor? ,ReqGameInfo
3311,What's the publisher of Thunder Gun: Revenge of the Mutants? ,ReqGameInfo
3312,What's the publisher of Curse of Mermos? ,ReqGameInfo
3313,What's the publisher of Hover X Souls: Git Gud Edition? ,ReqGameInfo
3314,What's the publisher of Rex Nebular and the Cosmic Gender Bender? ,ReqGameInfo
3315,What's the publisher of Nevermind? ,ReqGameInfo
3316,What's the publisher of Radiant Defense? ,ReqGameInfo
3317,What's the publisher of Dead Reckoning: The Crescent Case Collector's Edition? ,ReqGameInfo
3318,"Hi, who's the developer of Bloom: Labyrinth? ",ReqGameInfo
3319,"Hi, who's the developer of LAST WAR 2044? ",ReqGameInfo
3320,"Hi, who's the developer of Unstoppable Gorg? ",ReqGameInfo
3321,"Hi, who's the developer of Stronghold: A Hero's Fate? ",ReqGameInfo
3322,"Hi, who's the developer of 寻迹 -A story of a song-? ",ReqGameInfo
3323,"Hi, who's the developer of VR Darts? ",ReqGameInfo
3324,"Hi, who's the developer of Pool of Death? ",ReqGameInfo
3325,"Hi, who's the developer of Gachi Gang? ",ReqGameInfo
3326,"Hi, who's the developer of Rivals of Aether? ",ReqGameInfo
3327,"Hi, who's the developer of Robowars? ",ReqGameInfo
3328,"Hey, what's the genre of Hotel Blind? ",ReqGameInfo
3329,"Hey, what's the genre of Pride of Nations? ",ReqGameInfo
3330,"Hey, what's the genre of Heroes Arena? ",ReqGameInfo
3331,"Hey, what's the genre of #SelfieTennis? ",ReqGameInfo
3332,"Hey, what's the genre of Barbarian Trash? ",ReqGameInfo
3333,"Hey, what's the genre of Indie Game Sim? ",ReqGameInfo
3334,"Hey, what's the genre of Shoottera? ",ReqGameInfo
3335,"Hey, what's the genre of NITE Team 4? ",ReqGameInfo
3336,"Hey, what's the genre of Vainglory? ",ReqGameInfo
3337,"Hey, what's the genre of Grand Pigeon's Duty? ",ReqGameInfo
3338,What's the release date of Incorp Inc? ,ReqGameInfo
3339,What's the release date of Clinically Dead? ,ReqGameInfo
3340,What's the release date of Deadly Contact? ,ReqGameInfo
3341,What's the release date of War of Beach? ,ReqGameInfo
3342,What's the release date of The Legend of Protey? ,ReqGameInfo
3343,What's the release date of Behind The Beyond? ,ReqGameInfo
3344,What's the release date of Steve's Pub - Soda on tap? ,ReqGameInfo
3345,What's the release date of Innocent Forest: The Bird of Light? ,ReqGameInfo
3346,What's the release date of Dynamite Jack? ,ReqGameInfo
3347,What's the release date of WASDead [REMASTERED]? ,ReqGameInfo
3348,What's the category of Metropolis? ,ReqGameInfo
3349,What's the category of Annual? ,ReqGameInfo
3350,What's the category of Grand Theft Auto 2? ,ReqGameInfo
3351,What's the category of Illyriad - Grand Strategy MMO? ,ReqGameInfo
3352,What's the category of G Prime? ,ReqGameInfo
3353,What's the category of LVL99: AxeRage? ,ReqGameInfo
3354,What's the category of 【SCP】器関ノ彷徨 -The will of a single Tale- 第１部? ,ReqGameInfo
3355,What's the category of Date Warp? ,ReqGameInfo
3356,What's the category of Study of Unusual: Forest of Secrets? ,ReqGameInfo
3357,What's the category of The Legend of Heroes: Trails in the Sky SC? ,ReqGameInfo
3358,Can you tell me the game tag of The Maestros? ,ReqGameInfo
3359,Can you tell me the game tag of Nihilumbra? ,ReqGameInfo
3360,Can you tell me the game tag of Finding Hope? ,ReqGameInfo
3361,Can you tell me the game tag of Need a packet?? ,ReqGameInfo
3362,Can you tell me the game tag of NARUTO SHIPPUDEN: Ultimate Ninja STORM Revolution? ,ReqGameInfo
3363,Can you tell me the game tag of Tanks!!!? ,ReqGameInfo
3364,Can you tell me the game tag of Trawl? ,ReqGameInfo
3365,Can you tell me the game tag of VAD - Virtually Assured Destruction? ,ReqGameInfo
3366,Can you tell me the game tag of MarisaLand Legacy? ,ReqGameInfo
3367,Can you tell me the game tag of City Life 2008? ,ReqGameInfo
3368,What's the publisher of Hack Run ZERO? ,ReqGameInfo
3369,What's the publisher of Limit of defense? ,ReqGameInfo
3370,What's the publisher of Europa Universalis III Complete? ,ReqGameInfo
3371,What's the publisher of Agents of Aggro City Online? ,ReqGameInfo
3372,What's the publisher of Neon Hardcore? ,ReqGameInfo
3373,What's the publisher of Dark Void™ Zero? ,ReqGameInfo
3374,What's the publisher of Dance Magic? ,ReqGameInfo
3375,What's the publisher of Drunk On Nectar - The Nature Simulator? ,ReqGameInfo
3376,What's the publisher of Deep Dark Fight? ,ReqGameInfo
3377,What's the publisher of Dream Quest? ,ReqGameInfo
3378,"Hi, who's the developer of Monsters and Monocles? ",ReqGameInfo
3379,"Hi, who's the developer of Industry Empire? ",ReqGameInfo
3380,"Hi, who's the developer of Pato Box? ",ReqGameInfo
3381,"Hi, who's the developer of Stickman Backflip Killer zone? ",ReqGameInfo
3382,"Hi, who's the developer of Fleeting Ages? ",ReqGameInfo
3383,"Hi, who's the developer of Evergarden? ",ReqGameInfo
3384,"Hi, who's the developer of There Is No Turning Back!? ",ReqGameInfo
3385,"Hi, who's the developer of CasinoRPG? ",ReqGameInfo
3386,"Hi, who's the developer of DungeonUp? ",ReqGameInfo
3387,"Hi, who's the developer of The Grand Museum VR? ",ReqGameInfo
3388,"Hey, what's the genre of Turbo Pug DX? ",ReqGameInfo
3389,"Hey, what's the genre of Transformice? ",ReqGameInfo
3390,"Hey, what's the genre of ReThink | Evolved? ",ReqGameInfo
3391,"Hey, what's the genre of ARTé: Mecenas®? ",ReqGameInfo
3392,"Hey, what's the genre of Xenia's Ark? ",ReqGameInfo
3393,"Hey, what's the genre of Kim? ",ReqGameInfo
3394,"Hey, what's the genre of Wars Across The World? ",ReqGameInfo
3395,"Hey, what's the genre of Cut Cut Buffet? ",ReqGameInfo
3396,"Hey, what's the genre of Clockwork? ",ReqGameInfo
3397,"Hey, what's the genre of ルナティックドーン レジェンドパック? ",ReqGameInfo
3398,What's the release date of SOLRAVEN? ,ReqGameInfo
3399,What's the release date of Just Cause 4? ,ReqGameInfo
3400,What's the release date of 15 Defense? ,ReqGameInfo
3401,What's the release date of unWorded? ,ReqGameInfo
3402,What's the release date of Sumeru? ,ReqGameInfo
3403,What's the release date of BADBLOOD? ,ReqGameInfo
3404,What's the release date of Kommissar? ,ReqGameInfo
3405,"What's the release date of 10,000,000? ",ReqGameInfo
3406,What's the release date of Voxel Shot VR? ,ReqGameInfo
3407,What's the release date of Temple Escape? ,ReqGameInfo
3408,What's the category of Falcon 4.0? ,ReqGameInfo
3409,What's the category of Race The Sun? ,ReqGameInfo
3410,What's the category of MOAI: Build Your Dream? ,ReqGameInfo
3411,What's the category of Rocking Pilot? ,ReqGameInfo
3412,What's the category of Asteroid Bounty Hunter? ,ReqGameInfo
3413,What's the category of Broken Metal? ,ReqGameInfo
3414,What's the category of Path of Exile? ,ReqGameInfo
3415,What's the category of SUPER KINKY? ,ReqGameInfo
3416,What's the category of Call to Arms? ,ReqGameInfo
3417,What's the category of Orbits? ,ReqGameInfo
3418,Can you tell me the game tag of Hotlap Heroes? ,ReqGameInfo
3419,Can you tell me the game tag of Miscreated? ,ReqGameInfo
3420,Can you tell me the game tag of Anmynor Puzzles? ,ReqGameInfo
3421,Can you tell me the game tag of Dungeons 3? ,ReqGameInfo
3422,Can you tell me the game tag of Allied Nations? ,ReqGameInfo
3423,Can you tell me the game tag of Drakkhen? ,ReqGameInfo
3424,Can you tell me the game tag of OutBreak Zombie? ,ReqGameInfo
3425,Can you tell me the game tag of Sniper Squad Mission? ,ReqGameInfo
3426,Can you tell me the game tag of Chromium Man Clicker? ,ReqGameInfo
3427,Can you tell me the game tag of A-Escape VR? ,ReqGameInfo
3428,What's the publisher of The Way of Life: DEFINITIVE EDITION? ,ReqGameInfo
3429,What's the publisher of Where's Baby? ,ReqGameInfo
3430,What's the publisher of Sandra and Woo in the Cursed Adventure? ,ReqGameInfo
3431,What's the publisher of TETRA's Escape? ,ReqGameInfo
3432,"What's the publisher of Grid Legion, Storm? ",ReqGameInfo
3433,What's the publisher of Survive the Nights? ,ReqGameInfo
3434,What's the publisher of Theme Park Studio? ,ReqGameInfo
3435,What's the publisher of BackSlash? ,ReqGameInfo
3436,What's the publisher of ReLoaded? ,ReqGameInfo
3437,What's the publisher of Empyrean? ,ReqGameInfo
3438,"Hi, who's the developer of The Existence Abstract? ",ReqGameInfo
3439,"Hi, who's the developer of Mitch: Berry Challenge? ",ReqGameInfo
3440,"Hi, who's the developer of Dark Raid? ",ReqGameInfo
3441,"Hi, who's the developer of Twinfold? ",ReqGameInfo
3442,"Hi, who's the developer of The Sacred Tears TRUE? ",ReqGameInfo
3443,"Hi, who's the developer of Moto Racer  4? ",ReqGameInfo
3444,"Hi, who's the developer of Samurai of Hyuga Book 2? ",ReqGameInfo
3445,"Hi, who's the developer of Alteil: Horizons? ",ReqGameInfo
3446,"Hi, who's the developer of Dance Collider? ",ReqGameInfo
3447,"Hi, who's the developer of Accel? ",ReqGameInfo
3448,"Hey, what's the genre of Colorful Life? ",ReqGameInfo
3449,"Hey, what's the genre of Wolf Balls? ",ReqGameInfo
3450,"Hey, what's the genre of Test your knowledge: Cities? ",ReqGameInfo
3451,"Hey, what's the genre of Quarantine Circular? ",ReqGameInfo
3452,"Hey, what's the genre of Tom Clancy's Rainbow Six® Vegas? ",ReqGameInfo
3453,"Hey, what's the genre of Condition Red? ",ReqGameInfo
3454,"Hey, what's the genre of Tobit? ",ReqGameInfo
3455,"Hey, what's the genre of The Horus Heresy: Betrayal at Calth? ",ReqGameInfo
3456,"Hey, what's the genre of Myrne: The Quest? ",ReqGameInfo
3457,"Hey, what's the genre of Plants? ",ReqGameInfo
3458,What's the release date of Wall Street Junior? ,ReqGameInfo
3459,What's the release date of Puzzle Dating? ,ReqGameInfo
3460,What's the release date of DreadEye VR? ,ReqGameInfo
3461,What's the release date of Zwei: The Arges Adventure? ,ReqGameInfo
3462,What's the release date of LyraVR? ,ReqGameInfo
3463,What's the release date of Plight? ,ReqGameInfo
3464,What's the release date of Just In Time Incorporated? ,ReqGameInfo
3465,What's the release date of My Vet Practice – Marine Patrol? ,ReqGameInfo
3466,What's the release date of Impossible Creatures Steam Edition? ,ReqGameInfo
3467,What's the release date of Awesome Pea? ,ReqGameInfo
3468,"What's the category of Planes, Bullets and Vodka? ",ReqGameInfo
3469,What's the category of Off the Record: The Italian Affair Collector's Edition? ,ReqGameInfo
3470,What's the category of Elections Simulator 2018? ,ReqGameInfo
3471,What's the category of Trials of the Illuminati: Amazing Wildlife Jigsaws? ,ReqGameInfo
3472,What's the category of Roman The Worm? ,ReqGameInfo
3473,What's the category of Hyper Scuffle? ,ReqGameInfo
3474,What's the category of GALACTIC FIELD：Strategy Edition 银河领域：策略版? ,ReqGameInfo
3475,What's the category of 4DSnake? ,ReqGameInfo
3476,What's the category of Opaline? ,ReqGameInfo
3477,What's the category of Water Heroes: A Game for Change? ,ReqGameInfo
3478,Can you tell me the game tag of Hypergate? ,ReqGameInfo
3479,Can you tell me the game tag of Play with Gilbert? ,ReqGameInfo
3480,Can you tell me the game tag of Voices from the Sea? ,ReqGameInfo
3481,Can you tell me the game tag of InfiniPicross? ,ReqGameInfo
3482,Can you tell me the game tag of Asguaard? ,ReqGameInfo
3483,Can you tell me the game tag of Achievement Lurker: Easiest Cosmetic Numbers? ,ReqGameInfo
3484,Can you tell me the game tag of Steamroll? ,ReqGameInfo
3485,Can you tell me the game tag of Super Impossible Road? ,ReqGameInfo
3486,Can you tell me the game tag of Space Pirate Amai? ,ReqGameInfo
3487,Can you tell me the game tag of Bernie Needs Love? ,ReqGameInfo
3488,What's the publisher of Star Trek Online? ,ReqGameInfo
3489,What's the publisher of Homebrew - Patent Unknown? ,ReqGameInfo
3490,What's the publisher of Pillage? ,ReqGameInfo
3491,What's the publisher of Breach & Clear: Deadline Rebirth ? ,ReqGameInfo
3492,What's the publisher of Dreamscape? ,ReqGameInfo
3493,What's the publisher of God Of Arrows VR? ,ReqGameInfo
3494,What's the publisher of IronPower? ,ReqGameInfo
3495,What's the publisher of Slingshot Puzzle? ,ReqGameInfo
3496,What's the publisher of VRemedies - MRI Procedure Experience? ,ReqGameInfo
3497,What's the publisher of Subject 264? ,ReqGameInfo
3498,"Hi, who's the developer of Tank Bung? ",ReqGameInfo
3499,"Hi, who's the developer of Passage 4? ",ReqGameInfo
3500,"Hi, who's the developer of Earth Liberation? ",ReqGameInfo
3501,"Hi, who's the developer of Frqncy? ",ReqGameInfo
3502,"Hi, who's the developer of Leder Panzer? ",ReqGameInfo
3503,"Hi, who's the developer of DYSTORIA? ",ReqGameInfo
3504,"Hi, who's the developer of Ascension VR? ",ReqGameInfo
3505,"Hi, who's the developer of Dr. Pills? ",ReqGameInfo
3506,"Hi, who's the developer of HueBots? ",ReqGameInfo
3507,"Hi, who's the developer of Bomb Bay? ",ReqGameInfo
3508,"Hey, what's the genre of Anime Girls VR? ",ReqGameInfo
3509,"Hey, what's the genre of Motorcycle Club? ",ReqGameInfo
3510,"Hey, what's the genre of Heart of the Emberstone: Coliseum? ",ReqGameInfo
3511,"Hey, what's the genre of ZombieHunterZ? ",ReqGameInfo
3512,"Hey, what's the genre of Dark Empire? ",ReqGameInfo
3513,"Hey, what's the genre of 2URVIVE? ",ReqGameInfo
3514,"Hey, what's the genre of Slingshot Cowboy VR? ",ReqGameInfo
3515,"Hey, what's the genre of 100nya? ",ReqGameInfo
3516,"Hey, what's the genre of WILL: A Wonderful World / WILL：美好世界? ",ReqGameInfo
3517,"Hey, what's the genre of It's A Racing Game? ",ReqGameInfo
3518,What's the release date of Vehicle VR? ,ReqGameInfo
3519,What's the release date of Poly and the Marble Maze? ,ReqGameInfo
3520,What's the release date of ZOOMnBOOM? ,ReqGameInfo
3521,What's the release date of Jonah's Path? ,ReqGameInfo
3522,What's the release date of Leisure Suit Larry - Wet Dreams Don't Dry? ,ReqGameInfo
3523,What's the release date of Space Bugs? ,ReqGameInfo
3524,What's the release date of EURGAVA™ - Tomb of Senza? ,ReqGameInfo
3525,What's the release date of My Lil' Donut? ,ReqGameInfo
3526,What's the release date of Evil Genome 光明重影? ,ReqGameInfo
3527,What's the release date of Dark Gnome? ,ReqGameInfo
3528,What's the category of LeonWaan MineSweeper? ,ReqGameInfo
3529,What's the category of Tecroroid Assault? ,ReqGameInfo
3530,What's the category of Captain vs Sky Pirates? ,ReqGameInfo
3531,What's the category of Cubrick? ,ReqGameInfo
3532,What's the category of XorceD - Sashiro's Laedrum? ,ReqGameInfo
3533,What's the category of Defense: Abominations? ,ReqGameInfo
3534,What's the category of Shark Attack Deathmatch 2? ,ReqGameInfo
3535,What's the category of STAR WARS™ Galactic Battlegrounds Saga? ,ReqGameInfo
3536,What's the category of PIXELMAN? ,ReqGameInfo
3537,What's the category of Chronicle of Innsmouth? ,ReqGameInfo
3538,Can you tell me the game tag of Nancy Drew®: Secret of the Scarlet Hand? ,ReqGameInfo
3539,Can you tell me the game tag of The Shadowland? ,ReqGameInfo
3540,Can you tell me the game tag of Metrico+? ,ReqGameInfo
3541,Can you tell me the game tag of Space Hodsola 2? ,ReqGameInfo
3542,Can you tell me the game tag of Ben 10? ,ReqGameInfo
3543,Can you tell me the game tag of Overture? ,ReqGameInfo
3544,Can you tell me the game tag of The Last NightMary - A Lenda do Cabeça de Cuia? ,ReqGameInfo
3545,Can you tell me the game tag of The Broken Seal? ,ReqGameInfo
3546,Can you tell me the game tag of Magic Scroll Tactics / マジックスクロールタクティクス / 魔法卷轴 / 魔法捲軸? ,ReqGameInfo
3547,Can you tell me the game tag of MXGP2 - The Official Motocross Videogame Compact? ,ReqGameInfo
3548,What's the publisher of Space Overlords? ,ReqGameInfo
3549,What's the publisher of Penny Black? ,ReqGameInfo
3550,What's the publisher of Super Trashforce? ,ReqGameInfo
3551,What's the publisher of Just Roll With It? ,ReqGameInfo
3552,What's the publisher of The Albatross? ,ReqGameInfo
3553,What's the publisher of Gotta Go? ,ReqGameInfo
3554,What's the publisher of Jade's Journey? ,ReqGameInfo
3555,What's the publisher of Kohan II: Kings of War? ,ReqGameInfo
3556,What's the publisher of Anti-Grav Bamboo-copter? ,ReqGameInfo
3557,What's the publisher of GAROU: MARK OF THE WOLVES? ,ReqGameInfo
3558,"Hi, who's the developer of Fury Of The Gods? ",ReqGameInfo
3559,"Hi, who's the developer of Skyforge? ",ReqGameInfo
3560,"Hi, who's the developer of My Vet Practice? ",ReqGameInfo
3561,"Hi, who's the developer of Kindled Cavern? ",ReqGameInfo
3562,"Hi, who's the developer of Crime Stories : Days of Vengeance? ",ReqGameInfo
3563,"Hi, who's the developer of INSIDE? ",ReqGameInfo
3564,"Hi, who's the developer of Clean'Em Up? ",ReqGameInfo
3565,"Hi, who's the developer of Dungeons & Vampires? ",ReqGameInfo
3566,"Hi, who's the developer of RPGGAME? ",ReqGameInfo
3567,"Hi, who's the developer of My Time At Portia? ",ReqGameInfo
